chromatin_code,motif_type,Motif Type,A,B,C,D,p_value,real_count,random_mean_count,log_fold_change
100020001,3221,,weak,weak,weak,weak,0,6,1.5,0.875468737
100020010,3221,,weak,weak,repressed,weak,0,21,1,2.351375257
100020100,3221,,weak,weak,poised,weak,0.002,2,2,-0.405465108
100021000,3221,,weak,weak,active,weak,0,25,1,2.525728644
100110001,3221,,repressed,weak,weak,weak,0,31,1.333333333,2.586689344
100110010.00,3221,IV,repressed,weak,repressed,weak,0,63,1.74,3.14
100110100,3221,,repressed,weak,poised,weak,0,1,0,0
100111000,3221,,repressed,weak,active,weak,0,37,1.294117647,2.780569611
100200001,3221,,repressed,weak,weak,repressed,0,27,1.4,2.420368129
100200010.00,3221,IV,repressed,weak,repressed,repressed,0,55,1.89,2.94
100201000,3221,,repressed,weak,active,repressed,0,27,1.105263158,2.551396391
101011000,3221,,poised,weak,active,weak,0.002,2,2,-0.405465108
101100001,3221,,poised,weak,weak,repressed,0,2,0,0.693147181
101100010,3221,,poised,weak,repressed,repressed,0,2,0,0.693147181
101100100,3221,,poised,weak,poised,repressed,0,1,0,0
101101000,3221,,poised,weak,active,repressed,0,3,1,0.405465108
110010001,3221,,active,weak,weak,weak,0,42,1.428571429,2.850366423
110010010.00,3221,IV,active,weak,repressed,weak,0,57,1.20,3.25
110010100,3221,,active,weak,poised,weak,0,6,0,1.791759469
110011000.00,3221,IV,active,weak,active,weak,0,93,1.00,3.84
110100001,3221,,active,weak,weak,repressed,0,39,1.375,2.798564209
110100010,3221,,active,weak,repressed,repressed,0,44,1.655172414,2.807680042
110100100,3221,,active,weak,poised,repressed,0,4,1,0.693147181
110101000.00,3221,IV,active,weak,active,repressed,0,52,1.32,3.11
111000001,3221,,active,weak,weak,poised,0,2,0,0.693147181
111000100,3221,,active,weak,poised,poised,0,1,0,0
111001000,3221,,active,weak,active,poised,0,3,0,1.098612289
120000001,3221,,active,weak,weak,active,0,33,1,2.803360381
120000010,3221,,active,weak,repressed,active,0,19,1.090909091,2.206840036
120000100,3221,,active,weak,poised,active,0,4,0,1.386294361
120001000.00,3221,IV,active,weak,active,active,0,121,1.00,4.10
200020000,2211,,weak,weak,weak,weak,0.934,35,52.22,-0.419086204
200110000,2211,,weak,repressed,weak,weak,1,75,226.558,-1.109917037
200200000,2211,,weak,repressed,repressed,weak,1,47,240.524,-1.636821245
201010000,2211,,weak,poised,weak,weak,0.596,4,5.185654008,-0.43593838
201100000,2211,,weak,poised,repressed,weak,0.966,4,10.04,-1.01523068
210010000,2211,,weak,active,weak,weak,0.288,165,154.02,0.062391333
210100000,2211,,weak,active,repressed,weak,1,115,328.116,-1.051478144
211000000,2211,,weak,active,poised,weak,0.636,6,7.102822581,-0.300452998
220000000,2211,,weak,active,active,weak,0.544,110,111.244,-0.020194707
300000001,3111,,weak,weak,weak,weak,0.472,20,20.186,-0.057608313
300000010,3111,,weak,weak,weak,repressed,1,16,43.656,-1.026399955
300000100,3111,,weak,weak,weak,poised,0.526,1,1.817490494,-1.035846593
